,model,n,d,p,prop_miss,seed,d_miwae,n_epochs,sig_prior,method,time,citcio,add_wy,tau_dr,tau_ols,tau_ols_ps,mul_tau_dr,mul_tau_ols,mul_tau_ols_ps,dcor_zhat,dcor_zhat_mul
63,dlvm,1000,3,100,0.3,0,3,400,1,glm,1129,True,False,0.11193070911809946,2.0068028127905153,0.7204192234365374,1.1198481973907404,2.218298472043027,0.8457299705571347,0.8662362527127921,0.8506052007900301
64,dlvm,1000,3,5,0.1,0,3,10,10,glm,174,True,False,2.8490702387263154,2.469365534017032,2.6051154481609715,3.294527390549305,2.6998036751956285,2.7452881555996727,0.7096531190240382,0.5128654506706133
65,dlvm,1000,3,100,0.1,0,3,10,10,glm,575,True,False,2.2276925056254964,0.8476184881927512,0.7196386845078759,3.014009216557863,1.0672628540150269,0.8214025974165314,0.85224340915565,0.8011273494072435
66,dlvm,1000,3,5,0.3,0,3,10,10,glm,209,True,False,3.0929692312159514,2.920578117790917,2.894417176093467,3.4239996055768076,2.7457427050506658,2.759659683774828,0.7005962602568567,0.5111215379762478
67,dlvm,1000,3,100,0.3,0,3,10,10,glm,652,True,False,2.2183406851116283,0.6420326889080117,0.4740288715080582,2.8215881079262193,0.8389637803983537,0.6476338668992558,0.855800228190307,0.8110797328454781
68,dlvm,1000,3,5,0.1,0,3,400,10,glm,305,True,False,3.5798822281766047,2.524385720624117,2.684912315899635,4.058883840372448,2.644559561527875,2.784522375577264,0.7029354727488623,0.5783925500146561
69,dlvm,1000,3,100,0.1,0,3,400,10,glm,1167,True,False,0.18752124997865371,1.7735500430430984,0.682429182206166,1.0198524493075203,1.9368715225783333,0.7784965723696817,0.8482810312331849,0.8415878266708587
70,dlvm,1000,3,5,0.3,0,3,400,10,glm,318,True,False,2.216246425957328,2.0154415473329816,2.312254681781173,3.641997180056433,2.4947558607033797,2.6904989876665524,0.7098749513585308,0.5782723257534648
71,dlvm,1000,3,100,0.3,0,3,400,10,glm,1153,True,False,2.769821055867589,1.984308989115882,0.676222568580436,2.932528292812915,2.174822557115154,0.8136762662386542,0.8498939474035865,0.8423178387696882
72,dlvm,5000,3,5,0.1,0,3,10,0.1,glm,1701,True,False,2.9975251158959217,2.787520021730181,2.7429184111634903,2.8229400690641664,2.4767823520884935,2.5431161405477174,0.7102191000556585,0.5339654542062258
73,dlvm,5000,3,100,0.1,0,3,10,0.1,glm,4395,True,False,0.5105758370147112,0.9143398874271327,0.2310273862504939,0.8106058609205337,1.290334275636068,0.44310494574073955,0.8374336210070005,0.7768589479089647
74,dlvm,5000,3,5,0.3,0,3,10,0.1,glm,1600,True,False,2.929052494344867,2.69923005779561,2.699251562999276,2.7241116489610198,2.4588253587710045,2.554309446275577,0.7106195761535116,0.5375706934667963
75,dlvm,5000,3,100,0.3,0,3,10,0.1,glm,4643,True,False,0.5811368796958125,0.8968762403624169,0.34143321566527973,0.8797606967395931,1.1998398117344315,0.4792598062376199,0.8368760945413541,0.7818599914965829
76,dlvm,5000,3,5,0.1,0,3,400,0.1,glm,2066,True,False,2.781722518162863,2.499767676240701,2.5636304249189372,2.7296705611085827,2.440258439987079,2.5649210718514257,0.7356634812547489,0.5541381499005773
77,dlvm,5000,3,100,0.1,0,3,400,0.1,glm,10323,True,False,1.5652659845601746,2.5395898946776523,0.7908790396837899,1.7804660659271945,2.8123047272195687,0.9023477952701034,0.8926224289918261,0.8510079587674736
78,dlvm,5000,3,5,0.3,0,3,400,0.1,glm,6469,True,False,2.701301456962333,2.4974037818493855,2.5432127735533467,2.732525419707989,2.4415693916533225,2.560609701681021,0.7354475779077783,0.5532441461865211
79,dlvm,5000,3,100,0.3,0,3,400,0.1,glm,11064,True,False,1.471943022587075,2.486132794841053,0.7516609814717095,1.6903068885790404,2.7570995028482934,0.8572111054016109,0.8948788403301616,0.8531279833879808
80,dlvm,5000,3,5,0.1,0,3,10,1,glm,2417,True,False,2.8852729030008386,2.388105581094031,2.4743904744024006,2.884138786765707,2.430720165304622,2.5118282166025896,0.7389218515670476,0.5483715917893334
81,dlvm,5000,3,100,0.1,0,3,10,1,glm,6870,True,False,1.6708350162856205,1.643811898482475,0.9027692403763345,2.195888950679597,1.9069606567846313,0.9980734035007839,0.9026896223484988,0.8557921589646695
